epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.00613,1.72699,4.75442,1.40976,0,0,0,0,1.75686,4.1426,1.33099,1.82e-05,1.82e-05,1.82e-05
2,3.15434,1.6311,4.68619,1.40804,0,0,0,0,1.33135,4.10419,1.19284,4.05446e-05,4.05446e-05,4.05446e-05
3,4.32139,1.49973,4.56019,1.27588,0,0,0,0,1.24165,4.1002,1.14436,6.24387e-05,6.24387e-05,6.24387e-05
4,5.37473,1.36309,4.37167,1.19028,0,0,0,0,1.19589,4.0788,1.09525,8.38824e-05,8.38824e-05,8.38824e-05
5,6.52468,1.34872,4.32851,1.12594,0,0,0,0,1.20536,4.01289,1.0598,0.000104876,0.000104876,0.000104876
6,7.65818,1.38757,4.22721,1.10571,0,0,0,0,1.20654,3.9939,1.04422,0.000125418,0.000125418,0.000125418
7,8.86297,1.44187,4.11333,1.09483,0,0,0,0,1.16819,3.99392,1.03189,0.000145511,0.000145511,0.000145511
8,10.1271,1.41783,4.05531,1.09296,0,0,0,0,1.14605,3.97378,1.02329,0.000165153,0.000165153,0.000165153
9,11.1726,1.34887,3.83698,1.067,0,0,0,0,1.18741,3.93403,1.04643,0.000184344,0.000184344,0.000184344
10,12.114,1.33527,3.67588,1.08119,0,0,0,0,1.22867,3.87597,1.05819,0.000203085,0.000203085,0.000203085
11,13.13,1.44701,3.5721,1.10949,0,0,0,0,1.25327,3.78764,1.06244,0.000221376,0.000221376,0.000221376
12,14.0869,1.27068,3.32753,1.03089,0,0,0,0,1.26442,3.63104,1.06469,0.000239216,0.000239216,0.000239216
13,15.0766,1.27679,3.20796,1.05915,0,0,0,0,1.22352,3.55677,1.05543,0.000256605,0.000256605,0.000256605
14,16.0868,1.25098,2.98612,1.04899,0,0,0,0,1.18429,3.40831,1.06993,0.000273545,0.000273545,0.000273545
15,17.0523,1.25935,2.90854,1.06897,0,0,0,0,1.20181,3.18086,1.10182,0.000290033,0.000290033,0.000290033
16,18.0565,1.26328,2.71016,1.05529,0,0,0,0,1.21291,3.04849,1.10875,0.000306072,0.000306072,0.000306072
17,19.0236,1.31959,2.60984,1.08626,0.04029,0.03529,0.03515,0.02363,1.302,2.92019,1.16549,0.00032166,0.00032166,0.00032166
18,19.9873,1.28609,2.5006,1.06574,0.11204,0.09736,0.0972,0.07561,1.3216,2.7928,1.18163,0.000336797,0.000336797,0.000336797
19,20.9823,1.26272,2.43812,1.04633,0.10714,0.1127,0.10618,0.08619,1.28359,2.67549,1.15914,0.000351484,0.000351484,0.000351484
20,21.9827,1.22015,2.28438,1.03125,0.16303,0.1445,0.15051,0.12375,1.23546,2.40514,1.13099,0.00036572,0.00036572,0.00036572
21,22.9963,1.15808,2.0772,1.01515,0.15756,0.16471,0.16504,0.13883,1.1927,2.23414,1.10613,0.00036491,0.00036491,0.00036491
22,24.052,1.20227,1.98897,1.02236,0.16422,0.15686,0.16066,0.1354,1.19011,2.14689,1.11293,0.000360406,0.000360406,0.000360406
23,24.9961,1.19026,2.02875,1.03614,0.16176,0.16078,0.15907,0.13383,1.17502,2.01953,1.11925,0.000355901,0.000355901,0.000355901
24,26.0045,1.17499,1.84046,1.04221,0.29216,0.18619,0.23607,0.18753,1.21985,1.7913,1.11907,0.000351396,0.000351396,0.000351396
25,27.0014,1.23911,1.89149,1.0899,0.34816,0.21506,0.27505,0.20341,1.23932,1.70392,1.1233,0.000346892,0.000346892,0.000346892
26,27.9955,1.13217,1.86623,1.00236,0.34631,0.22977,0.28162,0.21711,1.18063,1.57191,1.11107,0.000342387,0.000342387,0.000342387
27,28.9902,1.16343,1.73886,1.00269,0.32834,0.23859,0.28154,0.21283,1.13621,1.44766,1.10258,0.000337883,0.000337883,0.000337883
28,29.9843,1.13203,1.72998,1.0058,0.31119,0.30918,0.31054,0.21915,1.17081,1.42058,1.12023,0.000333379,0.000333379,0.000333379
29,30.9548,1.19852,1.81954,1.0119,0.35085,0.3653,0.34683,0.24769,1.15311,1.40445,1.11905,0.000328874,0.000328874,0.000328874
30,32.0049,1.10839,1.62586,1.0198,0.35353,0.36129,0.35618,0.25584,1.12404,1.39495,1.10694,0.000324369,0.000324369,0.000324369
